i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,m5_close,ts_decision_utc,ts_fill_utc,ts_exit_utc
1023.0,5102.0,5189.0,1041.0,-1.0,4.0,2060.0,2065.3836115492236,2050.0,1.3207894194713656,0.07,2058.755,2050.0,2.0,-1.0,-1.0,1.0,1.0,0.0,46.40028084456436,10000.0,10061.285,3.897223098447067,0.29,18.0,REV_SHORT,TARGET,2058.9,2024-01-05 15:15:00,2024-01-05 15:20:00,2024-01-05 16:47:00
1154.0,5752.0,5778.0,1160.0,1.0,3.0,2040.0,2039.0158311451748,2050.0,6.04488729417088,0.16,2040.575,2039.0158311451748,1.0,-1.0,-1.0,-1.0,0.0,1.0,24.946701677203237,10061.285,10036.338298322797,1.0483377096500546,0.29,6.0,REV_LONG,STOP,2040.43,2024-01-08 03:10:00,2024-01-08 03:15:00,2024-01-08 03:41:00
1208.0,6022.0,6050.0,1214.0,1.0,3.0,2030.0,2028.336402042317,2040.0,3.362510049114208,0.18,2031.01,2028.336402042317,1.0,-1.0,-1.0,1.0,1.0,1.0,48.12476323829196,10036.338298322797,9988.213535084506,1.4171959153661322,0.29,6.0,REV_LONG,STOP,2030.865,2024-01-08 07:40:00,2024-01-08 07:45:00,2024-01-08 08:13:00
1235.0,6157.0,6235.0,1251.0,-1.0,4.0,2030.0,2032.575867829035,2020.0,2.4876119772811567,0.13,2028.97,2020.0,2.0,1.0,1.0,1.0,1.0,1.0,46.876281777453414,9988.213535084506,10104.823535084506,1.5017356580698216,0.29,16.0,REV_SHORT,TARGET,2029.115,2024-01-08 09:55:00,2024-01-08 10:00:00,2024-01-08 11:18:00
2385.0,11887.0,11929.0,2394.0,1.0,1.0,2050.0,2047.672718157358,2060.0,1.1790114379179069,0.04,2053.33,2060.0,2.0,1.0,1.0,-1.0,0.0,0.0,22.629127370567403,10104.823535084506,10131.503535084506,2.3272818426418103,0.29,9.0,BREAK_LONG,TARGET,2053.185,2024-01-12 13:45:00,2024-01-12 13:50:00,2024-01-12 14:32:00
2397.0,11947.0,12069.0,2422.0,-1.0,4.0,2060.0,2062.6967651117525,2050.0,2.776815062826845,0.07,2059.335,2050.0,2.0,-1.0,-1.0,-1.0,1.0,1.0,23.532355782267132,10131.503535084506,10196.848535084508,2.4035302235047915,0.29,25.0,REV_SHORT,TARGET,2059.48,2024-01-12 14:45:00,2024-01-12 14:50:00,2024-01-12 16:52:00
2864.0,14272.0,14358.0,2882.0,-1.0,4.0,2050.0,2051.150996212828,2040.0,5.073539877107028,0.27,2049.315,2040.0,2.0,-1.0,1.0,1.0,0.0,0.0,49.5718977463539,10196.848535084508,10448.353535084509,1.021992425656502,0.29,18.0,REV_SHORT,TARGET,2049.46,2024-01-16 07:40:00,2024-01-16 07:45:00,2024-01-16 09:11:00
3113.0,15512.0,15544.0,3120.0,1.0,3.0,2020.0,2018.839699876157,2030.0,4.707717187634596,0.13,2020.795,2018.839699876157,1.0,-1.0,-1.0,-1.0,1.0,0.0,25.41890160995922,10448.353535084509,10422.93463347455,1.1406002476860866,0.29,7.0,REV_LONG,STOP,2020.65,2024-01-17 05:25:00,2024-01-17 05:30:00,2024-01-17 06:02:00
3357.0,16727.0,16926.0,3397.0,-1.0,2.0,2010.0,2010.764723982673,2000.0,3.1169637996238255,0.09,2008.15,2010.764723982673,1.0,1.0,1.0,-1.0,0.0,0.0,23.532515844057116,10422.93463347455,10399.402117630492,0.7647239826730414,0.29,40.0,BREAK_SHORT,STOP,2008.295,2024-01-18 02:45:00,2024-01-18 02:50:00,2024-01-18 06:09:00
3723.0,18552.0,18562.0,3726.0,1.0,1.0,2030.0,2029.1143691940763,2040.0,5.535440367222863,0.31,2030.78,2029.1143691940763,1.0,1.0,1.0,1.0,0.0,0.0,51.63455498363418,10399.402117630492,10347.767562646859,0.8856308059237461,0.29,3.0,BREAK_LONG,STOP,2030.635,2024-01-19 10:15:00,2024-01-19 10:20:00,2024-01-19 10:30:00
4109.0,20477.0,20624.0,4139.0,1.0,3.0,2020.0,2018.7326082572824,2030.0,5.5417125867895765,0.15,2020.455,2021.515,4.0,-1.0,-1.0,-1.0,1.0,1.0,25.835876140762366,10347.767562646859,10363.667562646862,0.9447834854351962,0.29,30.0,REV_LONG,SESSION,2020.31,2024-01-22 19:25:00,2024-01-22 19:30:00,2024-01-22 21:57:00
