target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.25,16.0,0.065,4.5221,7.5744,0.958,1.3016,2.2448,630,1902.07,3.937
0.25,16.0,0.03,7.3408,6.7371,1.2285,1.4092,3.8536,630,3216.67,3.937
0.25,16.0,0.005,7.2865,6.746,1.1759,1.3973,3.7781,630,3190.35,3.937
0.25,16.0,0.05,6.0298,6.7036,1.1444,1.3712,3.3395,630,2592.45,3.937
0.25,16.0,0.045,6.472799999999999,6.6787,1.1856,1.3925,3.6105,630,2800.86,3.937
0.25,16.0,0.015,7.2865,6.746,1.1759,1.3973,3.7781,630,3190.35,3.937
0.25,16.0,0.01,7.2865,6.746,1.1759,1.3973,3.7781,630,3190.35,3.937
0.25,16.0,0.075,3.7607,7.1345,0.8843,1.2677,1.9835,630,1564.36,3.937
0.25,16.0,0.08,3.718,6.8163,0.9117,1.2756,2.0653,630,1545.63,3.937
0.25,16.0,0.055,5.4073,7.3334,1.0717,1.342,2.7631,630,2303.9,3.937
0.25,16.0,0.04,7.063400000000001,6.6635,1.2491,1.4226,3.9527,630,3082.72,3.937
0.25,16.0,0.02,7.2353000000000005,6.7371,1.1694,1.3941,3.7615,630,3165.62,3.937
0.25,16.0,0.07,4.217,7.2244,0.9371,1.2919,2.1961,630,1765.88,3.937
0.25,16.0,0.025,7.0588999999999995,6.7104,1.1649,1.3851,3.701,630,3080.56,3.937
0.25,16.0,0.035,7.0638000000000005,6.6621,1.1977,1.4028,3.7845,630,3082.9,3.937
0.25,16.0,0.06,4.9456,7.5844,1.0142,1.3204,2.4477,630,2093.06,3.937
0.25,32.0,0.075,3.7607,7.1345,0.8843,1.2677,1.9835,630,1564.36,3.937
0.25,32.0,0.02,7.2353000000000005,6.7371,1.1694,1.3941,3.7615,630,3165.62,3.937
0.25,32.0,0.04,7.063400000000001,6.6635,1.2491,1.4226,3.9527,630,3082.72,3.937
0.25,32.0,0.035,7.0638000000000005,6.6621,1.1977,1.4028,3.7845,630,3082.9,3.937
0.25,32.0,0.06,4.9456,7.5844,1.0142,1.3204,2.4477,630,2093.06,3.937
0.25,32.0,0.005,6.0375,8.7153,0.9645,1.3207,2.8952,630,2596.05,3.937
0.25,32.0,0.015,6.2377,6.7031,1.0161,1.3354,3.321,630,2689.93,3.937
0.25,32.0,0.03,7.3408,6.7371,1.2285,1.4092,3.8536,630,3216.67,3.937
0.25,32.0,0.05,6.0298,6.7036,1.1444,1.3712,3.3395,630,2592.45,3.937
0.25,32.0,0.045,6.472799999999999,6.6787,1.1856,1.3925,3.6105,630,2800.86,3.937
0.25,32.0,0.055,5.4073,7.3334,1.0717,1.342,2.7631,630,2303.9,3.937
0.25,32.0,0.07,4.217,7.2244,0.9371,1.2919,2.1961,630,1765.88,3.937
0.25,32.0,0.065,4.5221,7.5744,0.958,1.3016,2.2448,630,1902.07,3.937
0.25,32.0,0.025,7.0588999999999995,6.7104,1.1649,1.3851,3.701,630,3080.56,3.937
0.25,32.0,0.08,3.718,6.8163,0.9117,1.2756,2.0653,630,1545.63,3.937
0.25,32.0,0.01,6.0527,7.8409,0.9709,1.322,3.148,630,2603.16,3.937
0.25,48.0,0.075,3.7607,7.1345,0.8843,1.2677,1.9835,630,1564.36,3.937
0.25,48.0,0.035,7.0638000000000005,6.6621,1.1977,1.4028,3.7845,630,3082.9,3.937
0.25,48.0,0.02,7.2353000000000005,6.7371,1.1694,1.3941,3.7615,630,3165.62,3.937
0.25,48.0,0.04,7.063400000000001,6.6635,1.2491,1.4226,3.9527,630,3082.72,3.937
0.25,48.0,0.045,6.472799999999999,6.6787,1.1856,1.3925,3.6105,630,2800.86,3.937
0.25,48.0,0.05,6.0298,6.7036,1.1444,1.3712,3.3395,630,2592.45,3.937
0.25,48.0,0.015,6.2377,6.7031,1.0161,1.3354,3.321,630,2689.93,3.937
0.25,48.0,0.06,4.9456,7.5844,1.0142,1.3204,2.4477,630,2093.06,3.937
0.25,48.0,0.005,5.7890999999999995,9.9702,0.906,1.306,2.4186,630,2480.28,3.937
0.25,48.0,0.055,5.4073,7.3334,1.0717,1.342,2.7631,630,2303.9,3.937
0.25,48.0,0.08,3.718,6.8163,0.9117,1.2756,2.0653,630,1545.63,3.937
0.25,48.0,0.03,7.3408,6.7371,1.2285,1.4092,3.8536,630,3216.67,3.937
0.25,48.0,0.01,6.0527,7.8409,0.9709,1.322,3.148,630,2603.16,3.937
0.25,48.0,0.065,4.5221,7.5744,0.958,1.3016,2.2448,630,1902.07,3.937
0.25,48.0,0.07,4.217,7.2244,0.9371,1.2919,2.1961,630,1765.88,3.937
0.25,48.0,0.025,7.0588999999999995,6.7104,1.1649,1.3851,3.701,630,3080.56,3.937
0.25,64.0,0.075,3.7607,7.1345,0.8843,1.2677,1.9835,630,1564.36,3.937
